timestamp,test,status,details
"2025-09-09T17:08:23Z","P1-Register","PASS","parallel_user_1@681664889.com"
"2025-09-09T17:08:25Z","P1-Login","PASS","parallel_user_1@681664889.com"
"2025-09-09T17:08:25Z","P1-CreateVendor","PASS","vendorId=76"
"2025-09-09T17:08:25Z","P1-CreateEvent","PASS","eventId=74"
"2025-09-09T17:08:25Z","P1-CreateApplication","PASS","applicationId=57"
"2025-09-09T17:08:25Z","P1-DeleteApplication","FAIL","The remote server returned an error: (405) Method Not Allowed."
"2025-09-09T17:08:25Z","P1-DeleteEvent","PASS","eventId=74"
"2025-09-09T17:08:25Z","P1-DeleteVendor","PASS","vendorId=76"
"2025-09-09T17:08:25Z","P1-DeleteUser","PASS","userId=101"
"2025-09-09T17:08:23Z","P2-Register","PASS","parallel_user_2@1222151721.com"
"2025-09-09T17:08:25Z","P2-Login","PASS","parallel_user_2@1222151721.com"
"2025-09-09T17:08:25Z","P2-CreateVendor","PASS","vendorId=77"
"2025-09-09T17:08:25Z","P2-CreateEvent","PASS","eventId=76"
"2025-09-09T17:08:25Z","P2-CreateApplication","PASS","applicationId=56"
"2025-09-09T17:08:25Z","P2-DeleteApplication","FAIL","The remote server returned an error: (405) Method Not Allowed."
"2025-09-09T17:08:25Z","P2-DeleteEvent","PASS","eventId=76"
"2025-09-09T17:08:25Z","P2-DeleteVendor","PASS","vendorId=77"
"2025-09-09T17:08:25Z","P2-DeleteUser","PASS","userId=100"
"2025-09-09T17:08:23Z","P3-Register","PASS","parallel_user_3@902197497.com"
"2025-09-09T17:08:25Z","P3-Login","PASS","parallel_user_3@902197497.com"
"2025-09-09T17:08:25Z","P3-CreateVendor","PASS","vendorId=78"
"2025-09-09T17:08:25Z","P3-CreateEvent","PASS","eventId=75"
"2025-09-09T17:08:25Z","P3-CreateApplication","PASS","applicationId=58"
"2025-09-09T17:08:25Z","P3-DeleteApplication","FAIL","The remote server returned an error: (405) Method Not Allowed."
"2025-09-09T17:08:25Z","P3-DeleteEvent","PASS","eventId=75"
"2025-09-09T17:08:25Z","P3-DeleteVendor","PASS","vendorId=78"
"2025-09-09T17:08:25Z","P3-DeleteUser","PASS","userId=99"
